,order_date,order_day_of_week,store,supplier_id,category,product_case_pack,retail_price,replenishment_unit_cost,Ao_Forecast_Quantity,Minimum_Order_Quantity,Maximum_Order_Quantity,lead_time,suggested_order_quantity,actual_order_quantity,balance,year,month,day
2069,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.2073170731707317,18,1.75,15.48,8.5,3,20,3,1,1,0.5,1.8428845020624631,1.5801192842942346,1.8420138888888888
2070,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.3504043126684635,6,2.0,16.68,0.0,6,24,3,1,2,0.0,1.8428845020624631,1.5801192842942346,1.8420138888888888
2071,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.8,24,1.8,12.28,0.0,12,36,3,1,2,0.0,1.8428845020624631,1.5801192842942346,1.8420138888888888
2072,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,5.3640081799591,24,0.9,7.28,0.0,24,60,3,1,2,0.0,1.8428845020624631,1.5801192842942346,1.8420138888888888
2073,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.8,6,2.6,6.14,0.0,12,36,3,2,4,0.0,1.8428845020624631,1.5801192842942346,1.8420138888888888
2074,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,5.3640081799591,24,1.2,10.56,96.0,24,400,3,2,3,3.125,1.8428845020624631,1.5801192842942346,1.8420138888888888
2075,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,2.1217038539553754,6,2.6,4.14,9.4,2,50,3,2,2,0.833333,1.8428845020624631,1.5801192842942346,1.8420138888888888
2076,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.6844919786096257,24,1.5,12.72,11.0,12,100,3,1,1,0.75,1.8428845020624631,1.5801192842942346,1.8420138888888888
2077,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.0854700854700854,15,2.95,17.7,6.7,4,40,3,1,1,0.666666,1.8428845020624631,1.5801192842942346,1.8420138888888888
2078,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.3504043126684635,8,2.95,7.6,1.0,2,50,3,1,1,0.0,1.8428845020624631,1.5801192842942346,1.8420138888888888
2079,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.653361344537815,12,2.2,9.36,30.0,24,100,3,1,2,3.75,1.8428845020624631,1.5801192842942346,1.8420138888888888
2080,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,2.973684210526316,6,1.6,3.36,7.9,6,30,3,1,2,2.0,1.8428845020624631,1.5801192842942346,1.8420138888888888
2081,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.1888888888888889,12,2.3,8.64,6.0,3,30,3,1,1,0.666666,1.8428845020624631,1.5801192842942346,1.8420138888888888
2082,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.0854700854700854,12,2.3,8.4,9.7,3,30,3,1,1,1.0,1.8428845020624631,1.5801192842942346,1.8420138888888888
2083,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.0854700854700854,12,2.3,8.04,7.5,3,30,3,1,1,0.5,1.8428845020624631,1.5801192842942346,1.8420138888888888
2084,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.0772058823529411,18,3.3,23.76,11.7,7,40,3,1,1,1.0,1.8428845020624631,1.5801192842942346,1.8420138888888888
2085,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.055263157894737,30,2.6,18.6,10.4,3,60,3,1,1,0.1,1.8428845020624631,1.5801192842942346,1.8420138888888888
2086,2017-05-20,1.641095890410959,1.784480082772892,1.8197978002444173,1.0588235294117647,36,2.95,40.68,10.0,6,30,3,1,1,0.333333,1.8428845020624631,1.5801192842942346,1.8420138888888888
2087,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,2.819105691056911,1,1.5,0.56,4.1,2,40,2,1,2,6.0,1.8428845020624631,1.5801192842942346,1.8573033707865167
2088,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,1.1039697542533082,8,2.95,11.84,4.45,2,20,2,1,1,0.75,1.8428845020624631,1.5801192842942346,1.8573033707865167
2089,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,9.12,15.9,1,100,2,1,3,2.666666,1.8428845020624631,1.5801192842942346,1.8573033707865167
2090,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,1.1036106750392465,10,3.5,15.7,0.45,0,1,2,1,1,-0.2,1.8428845020624631,1.5801192842942346,1.8573033707865167
2091,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,1.0503597122302157,16,2.8,20.96,0.6,2,48,2,1,1,0.0,1.8428845020624631,1.5801192842942346,1.8573033707865167
2092,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,1.1030701754385965,4,2.5,4.32,1.6,2,12,2,1,1,0.25,1.8428845020624631,1.5801192842942346,1.8573033707865167
2093,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,1.2620232172470978,8,3.95,14.96,3.4,2,20,2,1,1,0.625,1.8428845020624631,1.5801192842942346,1.8573033707865167
2094,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,9.12,20.0,3,200,2,1,2,3.166666,1.8428845020624631,1.5801192842942346,1.8573033707865167
2095,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,8.82,12.1,1,100,2,1,2,2.0,1.8428845020624631,1.5801192842942346,1.8573033707865167
2096,2017-05-21,1.522090852520224,1.784480082772892,1.5733957219251338,1.1036106750392465,6,3.5,9.84,4.2,3,50,2,1,1,1.166666,1.8428845020624631,1.5801192842942346,1.8573033707865167
2097,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,2.3639494833524686,6,4.85,9.12,34.223738,1,100,4,3,3,3.333333,1.8428845020624631,1.5801192842942346,1.6868217054263566
2098,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.1268382352941178,8,2.95,12.08,7.8,2,50,4,1,1,1.125,1.8428845020624631,1.5801192842942346,1.6868217054263566
2099,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.5092783505154639,10,2.4,6.5,5.55,4,60,4,1,1,-0.1,1.8428845020624631,1.5801192842942346,1.6868217054263566
2100,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.1039697542533082,8,2.95,11.84,5.9,2,20,4,1,1,0.625,1.8428845020624631,1.5801192842942346,1.6868217054263566
2101,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,2.819105691056911,1,1.5,0.56,7.9,2,40,4,2,2,8.0,1.8428845020624631,1.5801192842942346,1.6868217054263566
2102,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.1268382352941178,12,2.95,18.84,9.0,2,30,4,1,1,0.666666,1.8428845020624631,1.5801192842942346,1.6868217054263566
2103,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.2620232172470978,10,3.95,18.0,4.266667,3,45,4,1,1,0.3,1.8428845020624631,1.5801192842942346,1.6868217054263566
2104,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.5092783505154639,6,2.4,3.66,5.35,2,50,4,1,1,1.166666,1.8428845020624631,1.5801192842942346,1.6868217054263566
2105,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.1030701754385965,4,2.5,4.32,3.0,2,12,4,1,1,0.75,1.8428845020624631,1.5801192842942346,1.6868217054263566
2106,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.1030701754385965,4,2.5,4.32,2.55,2,12,4,1,1,1.0,1.8428845020624631,1.5801192842942346,1.6868217054263566
2107,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.0740740740740742,6,2.5,7.08,5.95,2,60,4,1,1,1.166666,1.8428845020624631,1.5801192842942346,1.6868217054263566
2108,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.1036106750392465,6,3.5,9.96,3.8,1,50,4,1,1,0.5,1.8428845020624631,1.5801192842942346,1.6868217054263566
2109,2017-05-23,1.8500421229991575,1.784480082772892,1.5733957219251338,1.1036106750392465,6,2.5,6.12,8.45,3,50,4,1,1,1.666666,1.8428845020624631,1.5801192842942346,1.6868217054263566
